项目编码,项目名称,日期,商务开累产值不含税,商务开累产值含税,商务本年产值不含税,商务本年产值含税,商务开累成本,商务本年成本
U_ORG_XM_AJXXZSDCBDXMP4BD,埃及新行政首都CBD项目P4标段,2020/12/1,897360112.5,897360112.5,238275144.7,238275144.7,,
U_ORG_XM_AHWHYJSYY,安徽芜湖皖南医学院弋矶山医院,2020/12/1,194211205.3,213632325.8,50281121.97,55309234.16,184475843,48084939.62
U_ORG_XM_AHZWCF,安徽忠旺厂房,2020/12/1,0,0,-127750,-127750,0,-127750
U_ORG_XM_ASJGS,鞍山市公安局监管场所新建,2020/12/1,89045817.91,97059941.52,88665546.71,96645445.91,87556933.57,87183290.24
U_ORG_XM_BZGZSYXX,巴中光正实验学校,2020/12/1,140749421.9,154824364,1942810.576,2137091.634,139541384.2,1924884.37
U_ORG_XM_BZSYLXQ,霸州市云庐小区住宅,2020/12/1,168985943.2,184194678.1,86009268.42,93750102.57,158965923.9,80898653.33
U_ORG_XM_BJAZKYL,北京A座科研楼,2020/12/1,13270686.98,14597755.67,0,0,12685989.09,0
U_ORG_XM_Z13SYJR,北京CBD核心区Z13地块商业金融,2020/12/1,1434067385,1472859943,140197165,143570224.6,1338845708,121374792.2
U_ORG_XM_BJZ12TKJD,北京Z12泰康大厦机电工程,2020/12/1,228558314,235415063.5,31703930.44,32655048.36,209710637.7,29210317
U_ORG_XM_ZGZKT,北京Z15中国尊高区空调,2020/12/1,266495095.4,274489575.9,4315216.469,4444672.963,256410872.6,4151920.29
U_ORG_XM_BJAN4D,北京奥南4#地,2020/12/1,103018831.7,103035784.6,232321.6984,232359.9295,97776714.54,220500
U_ORG_XM_CYJZQ,北京常营大型居住区三期,2020/12/1,78544291.18,78690861.07,167403.7795,167715.917,73240412.59,156137.52
U_ORG_XM_CYMSHJC,北京朝阳门SOHO中心南区商业加层,2020/12/1,3405036.23,3440548.406,0,0,3304636.55,0
U_ORG_XM_DXZBDQ,北京大兴17#地项目（东区）,2020/12/1,27238675.36,27269665.96,0,0,24355905.07,0
U_ORG_XM_DXJCZSQAZF,北京大兴国际机场噪声区安置房,2020/12/1,753663992.4,822833419.4,290049489.3,315796391.5,711537539,278631829.1
U_ORG_XM_CPXQGZ,北京大学昌平新校区宿舍楼装修改造,2020/12/1,202257466.7,220487642.3,202227137.3,220454583.2,197187195.7,197157841.7
U_ORG_XM_BJDXHXYEQDL,北京大学化学学院E区大楼,2020/12/1,77299984.59,84256983.2,38292536.82,41738865.13,75199188.08,37255511.8
U_ORG_XM_BDKYL,北京大学教学科研楼,2020/12/1,205520227,208349568.3,14153961.17,14387349.71,197773121.2,13621793.25
U_ORG_XM_BDTSGGZ,北京大学图书馆改造,2020/12/1,150267893.7,164358826.8,6796407.254,7417511.216,147902629.6,6644158.45
U_ORG_XM_BDFZJXL,北京大学新建附属中学北校区综合教学楼,2020/12/1,197524287.3,215301473.1,-703353.3355,-766655.1356,193836772.6,-681624.83
U_ORG_XM_YJSGZ,北京电信亦庄云计算改造,2020/12/1,83325326.44,92308266.44,2855605.39,3152705.339,82866985.19,2832682.21
U_ORG_XM_BJDCBGLGKJ,北京东城办公楼改扩建,2020/12/1,231169907.7,251504915.4,152469440.8,165951099.1,222378747.2,148813859.4
U_ORG_XM_DXKAZFJZHZZ,北京东小口安置住房及综合整治,2020/12/1,175418539.5,191206208.1,103234172.3,112525247.8,174087338.7,102487365.5
U_ORG_XM_BJFSHFZYGY,北京房山华发中央公园,2020/12/1,271480035.1,296834043.8,154865607.8,169263776.3,259431162,148835200.6
U_ORG_XM_BJFSLHXYTJ,北京房山龙湖熙悦天街,2020/12/1,465230214.6,508295707.7,20374621.4,22251629.44,440365607.7,19197117.64
U_ORG_XM_BJFZKYLJD,北京纺织科研楼实验楼机电,2020/12/1,78088433.68,85116392.71,5616200.167,6121658.182,75816812.17,5452822.82
U_ORG_XM_BJFZDSZX,北京凤展大厦装修工程,2020/12/1,4267243.378,4693967.719,0,0,4013754.41,0
U_ORG_XM_BJGAZXGZ,北京港澳中心改造,2020/12/1,351562420.9,383203038.8,191388584.9,208613557.5,344662701.3,188107043.7
U_ORG_XM_BJGLYSQ03_31,北京高丽营三期03-31地块,2020/12/1,684030773.9,748650069.4,-78491.11249,-93342.46229,619311734.2,-4625.12
U_ORG_XM_GCBS38DK,北京观承别墅03-38地块二标段,2020/12/1,186042708.8,194430087.1,5044404.713,5248201.66,181677765.8,4923728.67
U_ORG_XM_BJGJKJCBZX,北京国家科技传播中心,2020/12/1,349016283.1,380922258.1,124103668.5,135434290.7,301901325.5,108662419
U_ORG_XM_YYZXGZSQ,北京国家游泳中心改造三期,2020/12/1,158615332.6,172717084.8,24454684.52,26622181.57,133455824.6,20856347.23
U_ORG_XM_GMDLGZ,北京国贸东楼改造及交通一体化,2020/12/1,306308423.1,311051856.3,13589003.41,13793241.31,300401068.8,13390418.38
U_ORG_XM_BJGMGYGZ,北京国贸公寓改造,2020/12/1,150358013.6,164748758,12084330.39,13306177.61,147365260.1,11882559.51
U_ORG_XM_GRGCJD,北京国锐广场机电,2020/12/1,122706212.6,126121219.9,11194485.39,11540706.59,121869706.7,11109678.52
U_ORG_XM_HTDXJSSS,北京航天工程大学军事设施建设,2020/12/1,272680047.1,297221251.4,139502186.9,152057383.7,272193822.1,139244364
U_ORG_XM_BJHPC,北京和平村,2020/12/1,436017010,483978881.1,46785150.22,51931516.75,419947560.5,45340296.08
U_ORG_XM_HKYSDEQ,北京鸿坤云时代二期,2020/12/1,339633049.5,373040251.7,13991147.75,15284685.44,327036980.9,13754700.81
U_ORG_XM_HNTZDS,北京湖南投资大厦,2020/12/1,26971290.69,29398706.89,26113516.92,28463733.48,24171874.38,23405934.75
U_ORG_XM_HJDYH,北京花家地一号,2020/12/1,13351018.53,14552610.2,7450392.944,8120928.309,13099251.51,7323686.78
U_ORG_XM_BJHLDS,北京华力国际大厦,2020/12/1,2172985.735,150623651.2,0,0,1921809.23,0
U_ORG_XM_HNRCJFGZ,北京华能人才基地B栋实验楼数据机房改造,2020/12/1,781206.2901,851514.8563,781206.2901,851514.8563,775675.35,775675.35
U_ORG_XM_YXHE2DK,北京怀柔区雁栖湖柏崖厂村E2地块,2020/12/1,349814809.3,390995237,83247479.52,93217667.59,350742066.5,84579983.33
U_ORG_XM_BJHRZGCCZZ,北京怀柔张各长村住宅,2020/12/1,402768131.5,438920994.9,39329653.01,42249364.97,396874901.4,38927425.93
U_ORG_XM_BJHQGYDJQ,北京环球度假区,2020/12/1,710273567.5,774761631.6,54101465.74,58996756.6,704547429.4,53817032.1
U_ORG_XM_BJHQDJQJT,北京环球度假区（集团）,2020/12/1,24842310.75,27183557.18,1407567.569,1535656.218,24660849.49,1395457.54
U_ORG_XM_BJHQNYZX,北京环球能源中心,2020/12/1,252052341.6,273957841.8,19943451.25,21655928.98,238204566.8,19102941.64
U_ORG_XM_BJHQZTGY,北京环球主题公园,2020/12/1,1230203650,1342107803,107834305.1,117638223,1195226354,105422331.6
U_ORG_XM_BJHSMZXGZ,北京火神庙商业中心改造,2020/12/1,292525915.3,322403212.2,32274695.63,35699097.24,288873462.9,31871000.85
U_ORG_XM_BJZSJM,北京嘉铭珑原07-01办公商业,2020/12/1,14711415.77,15300238.69,0,0,14411607.94,0
U_ORG_XM_BJJGMBGLGJ,北京建国门办公楼改建工程,2020/12/1,73521782.82,80508136.14,31365164.95,34205246.73,72113256.71,31054367.38
U_ORG_XM_JRJYTZX,北京金融街（月坛）中心,2020/12/1,1729768684,1741142367,2765422.261,2785806.595,1620115243,2630769.27
U_ORG_XM_JXSWZX,北京京西商务中心（西区）商业金融用地,2020/12/1,35743119.65,36132048.6,0,0,34989447.03,0
U_ORG_XM_BJJCBDT,北京精测半导体设备及准分子激光器,2020/12/1,71715425.14,78169813.4,71715425.14,78169813.4,71265231.75,71265231.75
U_ORG_XM_BJKTDX,北京凯特大厦,2020/12/1,396217162.5,400100474.4,-11970414.26,-11619017.12,388536854.1,-12665397.97
U_ORG_XM_LGYZZSPF,北京来广营北路自住型商品房,2020/12/1,900763109.3,915043558.8,6300716.057,6307160.893,883633822.7,5994649.29
U_ORG_XM_LZSOHOJD,北京丽泽soho机电,2020/12/1,80024784.91,82425423.33,9330132.28,9610036.248,78777493.06,9184703.49
U_ORG_XM_BJLZJRSWQ,北京丽泽金融商务区E-13、E-14地块,2020/12/1,24982467.71,25202321.93,1629461.2,1643801.013,24232510.21,1580545.83
U_ORG_XM_BJLZJRSWQJ,北京丽泽金融商务区E区13、14地块项目[局集团],2020/12/1,494959923.6,500645813.5,11273776.9,11384862.37,486570036.8,11066234.93
U_ORG_XM_LXHZX,北京利星行中心(文化交流中心),2020/12/1,1840027207,1869679765,635035.2839,645136.9823,1596424144,507218.93
U_ORG_XM_LXHZXEQ,北京利星行中心二期,2020/12/1,57577612.72,62991511.94,9924739.686,10847544.64,55995462.15,9596974.33
U_ORG_XM_LXHGZ,北京利星行中心改造,2020/12/1,54236715.15,59398585.91,13380023.56,14943291.97,52696389.24,12935897
U_ORG_XM_LXZBEQ,北京联想总部园区二期,2020/12/1,895314133.9,922173558,-2154371.423,-2219002.566,886149399,-2351948.93
U_ORG_XM_LXZBYQ,北京联想总部园区一期,2020/12/1,39423336.59,39705610.51,-343315.1307,-345773.2917,38426011.39,-334630
U_ORG_XM_JXYL,北京绿城西山燕庐,2020/12/1,261797140.1,284876432.2,33074921.23,36043244.28,257312156.6,32475996.12
U_ORG_XM_MTGBL,北京门头沟保利首开自住房,2020/12/1,142240456,150332926.9,-75203.37662,-77245.77431,137188761.1,-71978.26
U_ORG_XM_MTGBLXX,北京门头沟保利小学,2020/12/1,21245839.7,24640152.16,0,0,20325670.34,0
U_ORG_XM_MYZZ,北京密云项目住宅,2020/12/1,319298731.5,322300813.2,1416450.459,1433311.887,315455187.8,1396088.17
U_ORG_XM_BJODBSMZX,北京欧德宝商贸中心,2020/12/1,136191620.4,149613342.9,3442909.373,3787200.313,132075398.1,3260862.237
U_ORG_XM_BJPAE05DK,北京平安金融中心E05地块,2020/12/1,608658912.7,666480058.3,5197622.113,5691390.807,606471056,5181668.35
U_ORG_XM_BJQMCQGZ,北京前门B2B3地块重启后改造工程,2020/12/1,17950328.1,19565857.62,4737996.083,5164415.728,17622166.27,4651377.64
U_ORG_XM_QHBT,北京清华大学北体育馆,2020/12/1,222232628.3,242532766.1,73616455.91,80586012.47,218093460.1,72716545.94
U_ORG_XM_QHSSM,北京清华大学苏世民书院,2020/12/1,385025101.1,388240931.5,0,0,378076840.8,0
U_ORG_XM_RJZX,北京如家北纬路店装修,2020/12/1,972769.9396,1060319.234,424442.0761,462641.863,969851.63,423168.75
U_ORG_XM_SMKYDL,北京生命科学科研大楼,2020/12/1,133822650.7,133924596.3,16832518.7,16833668.99,129863456.3,16329121.92
U_ORG_XM_SMDLGZ,北京生命科学实验室改造,2020/12/1,81472336.17,88785619.7,-2836992.501,-3229700.373,79525992.19,-2722368.58
U_ORG_XM_BJSMYJSKJ,北京生命科学研究所扩建,2020/12/1,277098493.9,278115571.2,40990678.05,41056958.1,273393084.9,40458569.09
U_ORG_XM_NGZCXQ,北京石景山区南宫住宅小区,2020/12/1,264396784.9,265000761.4,-618035.0714,-619333.5656,253889684.4,-594964.37
U_ORG_XM_BJCBDSYJR,北京市CBD核心区Z2b地块商业金融,2020/12/1,1747097890,1799510827,61810641.58,63664960.83,1735175776,61312439.82
U_ORG_XM_RHYY,北京市仁和医院二期,2020/12/1,151557360.4,155647441.2,-5638.954441,-5403.562939,149123350,-5286.41
U_ORG_XM_SDJCGZ,北京首都机场2号航站楼改造,2020/12/1,236775396.4,238274452.5,145937.0677,147079.1865,212387743.4,156587.98
U_ORG_XM_SDYKDKYL,北京首都医科大学临床科研楼改造,2020/12/1,3295557.932,3815095.423,30810.0165,35667.14812,3265398.78,30528.06
U_ORG_XM_BJSKWKJD,北京首开万科天地机电,2020/12/1,22185002.93,22850553.02,4718415.405,4859967.868,22000012.02,4679070.63
U_ORG_XM_SKWKZX,北京首开万科中心,2020/12/1,511106511.5,523744370.1,13023355.27,13326653.72,498543301,12636211.24
U_ORG_XM_SJZXJD,北京数据港1号数据中心机电,2020/12/1,93158581.58,101542854.2,90634217.6,98791297.42,92203824.68,89708974.64
U_ORG_XM_BJSYHSYGYCQF,北京顺义后沙峪共有产权房,2020/12/1,608300114.1,663047124.4,280860508.1,306137953.8,605945600.1,280158676.1
U_ORG_XM_BJSYMTZ,北京顺义马头庄,2020/12/1,785132999.6,857381588.5,97227545.27,106314065.3,764535011,94557394.31
U_ORG_XM_SYXCD13JQ,北京顺义新城第13街区居住区,2020/12/1,87141224.96,94983935.21,86578449.16,94370509.59,86515498.27,85957224.68
U_ORG_XM_BQSTLGZF,北京顺义新城第4街区保障性住房,2020/12/1,459999380.9,507142211.9,60755300,67103394.99,445707849.1,58920616.9
U_ORG_XM_TH008,北京台湖公园里008地块,2020/12/1,123931588.5,136609717.2,9276862.683,10226980.62,117178960.3,8802999.06
U_ORG_XM_BJTGLGZ,北京太古里改造,2020/12/1,140958503,154402836.4,9372729.894,10265422.85,139916125.3,9321783.66
U_ORG_XM_BJTKSQ,北京泰康之家燕园三期,2020/12/1,98930755.03,107834523,98930755.03,107834523,97941447.48,97941447.48
U_ORG_XM_BJTLDYQ,北京天利德一期厂房,2020/12/1,17386259.29,17560725.74,3598089.272,3634268.73,16696246.78,3456009.62
U_ORG_XM_TTTKJY,北京天通泰中以文化数码科技园,2020/12/1,933436012.3,937231460.8,71924.5586,72269.15033,924199962.4,70412.87
U_ORG_XM_TZWKZX,北京天竺万科中心,2020/12/1,111957300.6,113169568.8,-126132.6791,-127340.4471,109168286.1,-123073.51
U_ORG_XM_TZHXQ,北京通州核心区运河项目Ⅱ-05地块,2020/12/1,43132146,47031389.28,35550251.06,38764073.94,42282204.42,34849714.7
U_ORG_XM_BJTZWG,北京通州网络安全技术研发厂房,2020/12/1,182850017.7,199306519.3,182850017.7,199306519.3,180841582.7,180841582.7
U_ORG_XM_BJWKFCGYJD,北京万科翡翠公园机电,2020/12/1,17256472.2,18809554.7,11147.18281,12150.42926,16698780.39,10786.93
U_ORG_XM_WKFCYT,北京万科翡翠云图,2020/12/1,637909680.1,698912563.3,110137381.8,121631604.5,598468777.2,102515411.2
U_ORG_XM_BJWKQXS,北京万科七橡墅,2020/12/1,560663521.3,610557884.8,52762295.99,57440655.01,507361398.6,47859840
U_ORG_XM_BJWKWX,北京万科望溪,2020/12/1,269386219.4,293630979.2,83628691.62,91155273.87,266006493.4,82473699.5
U_ORG_XM_WJSHZX,北京望京SOHO中心,2020/12/1,69695095.69,69804286.83,0,0,57115097.4,0
U_ORG_XM_BJWJBGLSQ,北京望京办公楼三期,2020/12/1,217285076.2,239211714.4,23147273.59,25485430.96,215680628.6,22986604.85
U_ORG_XM_BJWLCXX,北京未来城学校,2020/12/1,52758219.06,57506458.78,23239137,25330659.33,52505131.63,23127656.1
U_ORG_XM_BJWLCXXZB,北京未来城学校总承包,2020/12/1,393537176.6,428955522.5,393537176.6,428955522.5,295190111.9,295190111.9
U_ORG_XM_WHWKCYTD,北京五和万科长阳天地,2020/12/1,206407161.3,210622586.3,2958523.306,3018825.052,199170916.4,2836334.404
U_ORG_XM_WKSLQGY,北京五棵松篮球公园施工,2020/12/1,77161576.51,78566097.54,5732743.931,5844774.246,73117937.43,5319340.56
U_ORG_XM_WKSZHL,北京五棵松文化体育中心配套综合楼,2020/12/1,343625782.2,374219196.7,22684325.73,24726063.2,341908204.8,22552457.86
U_ORG_XM_XCQ9HZCB,北京西城区金融大街9号商业办公扩建（总承包）,2020/12/1,272541579.5,277011769.5,-578.9771285,-596.3464422,270623053,-526.56
U_ORG_XM_XDWLEQ,北京西大望路二期,2020/12/1,143162867.8,157323189.9,16525567.49,18182533.97,142278002.6,16426455.73
U_ORG_XM_BJXHFTFKT,北京西华府商办楼通风空调工程,2020/12/1,31998450.07,32958403.57,1150751.836,1185274.391,31546839.1,1134510.67
U_ORG_XM_XZMGZ,北京西直门南小街115号综合维修改造,2020/12/1,895114.5758,975674.8876,895114.5758,975674.8876,886163.43,886163.43
U_ORG_XM_XGLSYJR,北京霞光里5号、6号商业金融,2020/12/1,546785888.3,591797928.3,15369278.65,16954535.84,543225587.9,15362759.91
U_ORG_XM_BJXSJDAZF,北京香山军队安置房,2020/12/1,247094651.6,274275063.3,21299606.37,23642563.15,242197284,20675792.11
U_ORG_XM_WKCYWYCZZX,北京祥筑万科长阳文娱创作中心,2020/12/1,44134519.13,48534641.35,1424967.791,1567203.941,43061059.75,1389341.54
U_ORG_XM_BJWKZYC,北京祥筑万科长阳中央城,2020/12/1,162068144.6,166565468.3,1092871.268,1125657.406,159204634.4,1072969.14
U_ORG_XM_BJXHBX,北京新华保险大厦改造,2020/12/1,116042502.6,117004135.5,-8839205.806,-8912455.443,113416441,-8543801.26
U_ORG_XM_XJCAZF,北京新机场安置房,2020/12/1,619839996.2,636659253.8,3053134.778,3143509.927,616228594.5,3022279.28
U_ORG_XM_BJXJCGL,北京新机场道路及综合管廊,2020/12/1,417798092.9,463079729.5,61581534.94,68345354.37,404079925.2,59516692.73
U_ORG_XM_BJNHHS,北京新机场南航航空食品设施,2020/12/1,659131155.4,727943007.4,6209678.665,6847260.769,643358267.4,6060772.05
U_ORG_XM_XJCXXZX,北京新机场信息中心,2020/12/1,26877410.48,28830922.7,806143.2502,845988.988,26328914.24,783013.36
U_ORG_XM_XJK1H,北京新街口1号工程,2020/12/1,214667683.1,233987774.5,176035677.4,191878888.4,211376088.9,173302558.1
U_ORG_XM_BJXYDHLWJD,北京新一代互联网云计算产创基地机电,2020/12/1,81318459.02,88637120.33,35971558.43,39208998.7,80755281.23,35722434.4
U_ORG_XM_YZYJSZX,北京亦庄云计算中心,2020/12/1,56128535.22,56804568.56,0,0,37836962.06,0
U_ORG_XM_BJYCCF,北京盈创2#厂房等5项,2020/12/1,148361367.3,162113950.1,7509536.761,8212771.563,145801090.5,7322916.69
U_ORG_XM_YDDSGZ,北京盈都大厦D座室内外装修改造,2020/12/1,8504304.508,9269691.915,8504304.508,9269691.915,8126827.43,8126827.43
U_ORG_XM_BJYABGZX,北京永安宾馆装修,2020/12/1,133985942.4,140411965.8,5801325.297,6086157.66,132788463.5,5735262.15
U_ORG_XM_BJYDHHHLJZL,北京永定河混合垃圾治理,2020/12/1,21328746.67,23248333.87,21254.98657,23167.93536,20966276.59,20893.77
U_ORG_XM_BJYYYH,北京远洋瀛海,2020/12/1,791223331.1,862471404.9,105992314.9,115597557.8,782619766,104931398.2
U_ORG_XM_BJZYLHC,北京张仪-莲花池π入岳各庄220千伏线路,2020/12/1,50443.37688,54983.28081,50443.37688,54983.28081,50191.16,50191.16
U_ORG_XM_ZSJMDK,北京招商嘉铭10地块商业办公,2020/12/1,245990724.3,249774012.4,0,0,244151278.3,0
U_ORG_XM_BJZSJD,北京招商嘉铭酒店,2020/12/1,2900930.951,3220033.358,0,0,2566080.45,0
U_ORG_XM_BJZCCF,北京中钞厂房,2020/12/1,335904087.7,369494496.5,97128408.94,106841249.8,330587907.9,95770116.95
U_ORG_XM_GMSQB,北京中国国际贸易中心三期B阶段工程,2020/12/1,815643600.6,819793273.3,41034959.01,41243809.27,798314854.8,40162814.78
U_ORG_XM_BJZGYD,北京中国移动博瑞琪大厦装修改造,2020/12/1,62026168.16,67608523.29,62026168.16,67608523.29,61607394.07,61607394.07
U_ORG_XM_ZLKJYEQ,北京中粮科技园标准厂房二期,2020/12/1,488588012.3,532560933.4,34516185.24,37622641.91,467065754.9,33155360.77
